X,Y,Record_ID,Store_Name,Store_Street_Address,Additonal_Address,Zip_Code,Zip4,Proposed_new_category,Latitude,Longitude,ObjectId,NOTES,Store_Type
-7950574,5139775,828850,Borrellis Bakery,805 Charles St,,2904,1302,Bakery,41.85829,-71.4212,57940,,Specialty Store
-7953055,5135869,1489314,El Quiche Bakery Store Inc,1076 Chalkstone Ave,,2908,4551,Bakery,41.83215,-71.4435,201204,,Grocery Store
-7950074,5131104,1033726,Emely Party Store And Bakery Llc,880 Broad St,,2907,1724,Bakery,41.80025,-71.4167,230667,,Convenience Store
-7952585,5138469,890768,LaSalle Bakery Inc,685 Admiral St,,2908,1402,Bakery,41.84955,-71.4393,240778,,Specialty Store
-7952692,5134055,576223,MAYA BAKERY,113 Valley St,,2909,2441,Bakery,41.82,-71.4402,37591,,Other
-7953940,5135901,440181,SAL'S BAKERY,1288 Chalkstone Ave,,2908,3900,Bakery,41.83236,-71.4515,15117,,Grocery Store
-7947334,5134429,451897,SILVER STAR BAKERY,150 Ives St,,2906,3813,Bakery,41.82251,-71.3921,10597,,Other
-7953494,5133114,1048731,280 Llc,280 Plainfield St,,2909,3704,Convenience Store,41.81371,-71.4474,214736,- has the types of items you would find at a gas station,Convenience Store
-7950439,5133354,623040,7 Eleven - 33406A,270 Broad St,,2903,4032,Convenience Store,41.81531,-71.42,42711,- our exampe of a convenience store,Convenience Store
-7953152,5133827,1113622,7 Eleven 33426A,65 Manton Ave,,2909,3307,Convenience Store,41.81848,-71.4444,225767,- our exampe of a convenience store,Convenience Store
-7951154,5136338,1620956,7-Eleven 29112,460 Smith St,,2908,4307,Convenience Store,41.83529,-71.4264,257964,- our exampe of a convenience store,Convenience Store
-7952152,5134636,1614906,7-Eleven 33338 C,548 Atwells Ave,,2909,2414,Convenience Store,41.8239,-71.4354,253287,- our exampe of a convenience store,Convenience Store
-7949516,5134661,388777,7-ELEVEN 33397-A,10 Dorrance St,,2903,2018,Convenience Store,41.82406,-71.4117,20327,- our exampe of a convenience store,Convenience Store
-7952549,5131669,1133031,7-eleven 33413C,775 Cranston St,,2907,3007,Convenience Store,41.80403,-71.439,206465,- our exampe of a convenience store,Convenience Store
-7947746,5134148,1174824,71 Milk Store LLC,71 Hope St,,2906,2001,Convenience Store,41.82063,-71.3958,225984,,Convenience Store
-7950920,5132401,1626387,A Z Mini Mart Corp,150 Elmwood Ave,,2907,4104,Convenience Store,41.80893,-71.4243,255917,,Convenience Store
-7953240,5136914,1645879,Academy Market,524 Academy Ave,,2908,2723,Convenience Store,41.83914,-71.4452,79322,,Convenience Store
-7953301,5137500,1428187,Aj Pharmacy,1017 Smith St,,2908,2747,Convenience Store,41.84306,-71.4457,158744,,Convenience Store
-7951135,5131301,1632067,Alia Market,384 Elmwood Ave,,2907,1641,Convenience Store,41.80157,-71.4263,99060,,Other
-7950237,5131237,1632573,Broad Mart LLC,837 Broad St,,2907,,Convenience Store,41.80114,-71.4182,264033,,Convenience Store
-7950263,5135941,1066964,Capital Gulf,201 Smith St,,2908,4930,Convenience Store,41.83263,-71.4184,222318,,Convenience Store
-7952500,5138354,919491,College Convenience Mart,664 Admiral St,,2908,1406,Convenience Store,41.84878,-71.4385,68983,,Convenience Store
-7948948,5129765,378848,CUMBERLAND FARMS 1210,1297 Broad St,,2905,2935,Convenience Store,41.79128,-71.4066,16489,,Convenience Store
-7947707,5138117,367245,CUMBERLAND FARMS 1280,751 Hope St,,2906,3637,Convenience Store,41.8472,-71.3955,25790,,Convenience Store
-7951518,5139118,1277927,Cumberland Farms 1296,744 Branch Ave,,2904,1702,Convenience Store,41.85389,-71.4297,126877,,Convenience Store
-7950404,5138612,1436672,Daily Stop Mart,549 Charles St,,2904,2227,Convenience Store,41.85051,-71.4197,172453,,Grocery Store
-7947162,5136217,1273893,Eastside Mart,422 Lloyd Ave,,2906,4548,Convenience Store,41.83448,-71.3906,122109,,Convenience Store
-7950750,5132949,1073590,Elmwood Avenue Shell,5 Elmwood Ave,,2907,2416,Convenience Store,41.8126,-71.4228,240230,,Convenience Store
-7953176,5132201,1293697,Familia Food Market Inc,230 Union Ave,,2909,3030,Convenience Store,41.80759,-71.4446,229321,,Grocery Store
-7951514,5129518,1357645,Gulf Express,255 Reservoir Ave,,2907,3402,Convenience Store,41.78962,-71.4297,166864,,Convenience Store
-7954823,5133916,1107311,Hartford Mart,469 Hartford Ave,,2909,5132,Convenience Store,41.81908,-71.4594,144727,,
-7955089,5132714,1066542,J & M Convenience Store,718 Plainfield St,,2909,5310,Convenience Store,41.81103,-71.4618,234981,,Convenience Store
-7954305,5134797,1620328,Joe's Kwik Marts 5012,442 Manton Ave,,2909,5044,Convenience Store,41.82497,-71.4547,259234,,Convenience Store
